Entity,Entity,Similarity
http://research.tib.eu/p4-lucat/entity/28750281,http://research.tib.eu/p4-lucat/entity/27983672,0.5282407407407408
http://research.tib.eu/p4-lucat/entity/14499148,http://research.tib.eu/p4-lucat/entity/23644992,0.47222222222222227
http://research.tib.eu/p4-lucat/entity/2559086,http://research.tib.eu/p4-lucat/entity/4053030,0.75
http://research.tib.eu/p4-lucat/entity/27393512,http://research.tib.eu/p4-lucat/entity/29808804,0.63
http://research.tib.eu/p4-lucat/entity/26782170,http://research.tib.eu/p4-lucat/entity/7463500,0.75
http://research.tib.eu/p4-lucat/entity/26299612,http://research.tib.eu/p4-lucat/entity/25369325,0.5416666666666667
http://research.tib.eu/p4-lucat/entity/20582509,http://research.tib.eu/p4-lucat/entity/23525453,0.75
http://research.tib.eu/p4-lucat/entity/24243522,http://research.tib.eu/p4-lucat/entity/21569649,0.43750000000000006
http://research.tib.eu/p4-lucat/entity/22784503,http://research.tib.eu/p4-lucat/entity/27223828,0.5733333333333334
http://research.tib.eu/p4-lucat/entity/21576976,http://research.tib.eu/p4-lucat/entity/NCT05023837,0.46875
http://research.tib.eu/p4-lucat/entity/6285572,http://research.tib.eu/p4-lucat/entity/21659786,0.75
http://research.tib.eu/p4-lucat/entity/1903704,http://research.tib.eu/p4-lucat/entity/26617767,0.75
http://research.tib.eu/p4-lucat/entity/22405953,http://research.tib.eu/p4-lucat/entity/26162689,0.47222222222222227
http://research.tib.eu/p4-lucat/entity/25605948,http://research.tib.eu/p4-lucat/entity/23915912,0.5416666666666667
http://research.tib.eu/p4-lucat/entity/NCT03059667,http://research.tib.eu/p4-lucat/entity/24052011,0.2941919191919192
http://research.tib.eu/p4-lucat/entity/27059429,http://research.tib.eu/p4-lucat/entity/21778300,0.6256944444444444
http://research.tib.eu/p4-lucat/entity/25807104,http://research.tib.eu/p4-lucat/entity/28352985,0.5871296296296296
http://research.tib.eu/p4-lucat/entity/25192680,http://research.tib.eu/p4-lucat/entity/26322832,0.6633333333333333
http://research.tib.eu/p4-lucat/entity/26625776,http://research.tib.eu/p4-lucat/entity/27296005,0.5416666666666667
http://research.tib.eu/p4-lucat/entity/26471306,http://research.tib.eu/p4-lucat/entity/629863,0.6399305555555557
http://research.tib.eu/p4-lucat/entity/27665481,http://research.tib.eu/p4-lucat/entity/28271729,0.6466590909090909
http://research.tib.eu/p4-lucat/entity/27371767,http://research.tib.eu/p4-lucat/entity/6654521,0.63
http://research.tib.eu/p4-lucat/entity/25632212,http://research.tib.eu/p4-lucat/entity/21719945,0.47222222222222227
http://research.tib.eu/p4-lucat/entity/25971796,http://research.tib.eu/p4-lucat/entity/20015838,0.6597222222222223
http://research.tib.eu/p4-lucat/entity/25531325,http://research.tib.eu/p4-lucat/entity/26436616,0.75
http://research.tib.eu/p4-lucat/entity/3589339,http://research.tib.eu/p4-lucat/entity/21618517,0.47222222222222227
http://research.tib.eu/p4-lucat/entity/19896236,http://research.tib.eu/p4-lucat/entity/24122856,0.5416666666666667
http://research.tib.eu/p4-lucat/entity/19109096,http://research.tib.eu/p4-lucat/entity/9549818,0.5416666666666667
http://research.tib.eu/p4-lucat/entity/21609545,http://research.tib.eu/p4-lucat/entity/20201637,0.6111111111111112
http://research.tib.eu/p4-lucat/entity/21801276,http://research.tib.eu/p4-lucat/entity/2335623,0.75
http://research.tib.eu/p4-lucat/entity/27847212,http://research.tib.eu/p4-lucat/entity/24315678,0.5416666666666667
http://research.tib.eu/p4-lucat/entity/24263234,http://research.tib.eu/p4-lucat/entity/422313,0.6111111111111112
http://research.tib.eu/p4-lucat/entity/6611544,http://research.tib.eu/p4-lucat/entity/2376191,0.6256944444444444
http://research.tib.eu/p4-lucat/entity/24643730,http://research.tib.eu/p4-lucat/entity/3975906,0.75
http://research.tib.eu/p4-lucat/entity/7257505,http://research.tib.eu/p4-lucat/entity/22306125,0.5833333333333334
http://research.tib.eu/p4-lucat/entity/24782152,http://research.tib.eu/p4-lucat/entity/6508048,0.6111111111111112
http://research.tib.eu/p4-lucat/entity/28401873,http://research.tib.eu/p4-lucat/entity/2345738,0.5416666666666667
http://research.tib.eu/p4-lucat/entity/25761878,http://research.tib.eu/p4-lucat/entity/2618988,0.47222222222222227
http://research.tib.eu/p4-lucat/entity/29721756,http://research.tib.eu/p4-lucat/entity/21714584,0.75
http://research.tib.eu/p4-lucat/entity/29516903,http://research.tib.eu/p4-lucat/entity/24388706,0.5416666666666667
http://research.tib.eu/p4-lucat/entity/NCT01858389,http://research.tib.eu/p4-lucat/entity/25594902,0.2967929292929293
http://research.tib.eu/p4-lucat/entity/11584670,http://research.tib.eu/p4-lucat/entity/23852407,0.41666666666666674
http://research.tib.eu/p4-lucat/entity/26973210,http://research.tib.eu/p4-lucat/entity/25888465,0.7399305555555555
http://research.tib.eu/p4-lucat/entity/23228413,http://research.tib.eu/p4-lucat/entity/26026106,0.5416666666666667
http://research.tib.eu/p4-lucat/entity/16330971,http://research.tib.eu/p4-lucat/entity/1944,0.25
http://research.tib.eu/p4-lucat/entity/30542036,http://research.tib.eu/p4-lucat/entity/3351960,0.47222222222222227
http://research.tib.eu/p4-lucat/entity/24289569,http://research.tib.eu/p4-lucat/entity/22415414,0.5416666666666667
http://research.tib.eu/p4-lucat/entity/26818857,http://research.tib.eu/p4-lucat/entity/26081538,0.75
http://research.tib.eu/p4-lucat/entity/NCT01978171,http://research.tib.eu/p4-lucat/entity/21921423,0.2922979797979798
http://research.tib.eu/p4-lucat/entity/3698002,http://research.tib.eu/p4-lucat/entity/21056487,0.75
http://research.tib.eu/p4-lucat/entity/27706644,http://research.tib.eu/p4-lucat/entity/27553023,0.5416666666666667
http://research.tib.eu/p4-lucat/entity/23324337,http://research.tib.eu/p4-lucat/entity/28196386,0.5416666666666667
http://research.tib.eu/p4-lucat/entity/24463482,http://research.tib.eu/p4-lucat/entity/20332690,0.6354061447811448
http://research.tib.eu/p4-lucat/entity/24838326,http://research.tib.eu/p4-lucat/entity/27913214,0.47222222222222227
http://research.tib.eu/p4-lucat/entity/24501931,http://research.tib.eu/p4-lucat/entity/20387297,0.6111111111111112
http://research.tib.eu/p4-lucat/entity/28575806,http://research.tib.eu/p4-lucat/entity/26289596,0.47222222222222227
http://research.tib.eu/p4-lucat/entity/26987324,http://research.tib.eu/p4-lucat/entity/26124082,0.47222222222222227
http://research.tib.eu/p4-lucat/entity/24377577,http://research.tib.eu/p4-lucat/entity/2830955,0.5416666666666667
http://research.tib.eu/p4-lucat/entity/9650893,http://research.tib.eu/p4-lucat/entity/24365502,0.5416666666666667
http://research.tib.eu/p4-lucat/entity/22930559,http://research.tib.eu/p4-lucat/entity/23239425,0.5416666666666667
http://research.tib.eu/p4-lucat/entity/23614048,http://research.tib.eu/p4-lucat/entity/26189165,0.6256944444444444
http://research.tib.eu/p4-lucat/entity/24735610,http://research.tib.eu/p4-lucat/entity/24950966,0.7208333333333334
http://research.tib.eu/p4-lucat/entity/21263261,http://research.tib.eu/p4-lucat/entity/28174897,0.6111111111111112
http://research.tib.eu/p4-lucat/entity/1083286,http://research.tib.eu/p4-lucat/entity/25088936,0.5416666666666667
http://research.tib.eu/p4-lucat/entity/21725358,http://research.tib.eu/p4-lucat/entity/24466261,0.75
http://research.tib.eu/p4-lucat/entity/27083334,http://research.tib.eu/p4-lucat/entity/19906497,0.5377314814814815
http://research.tib.eu/p4-lucat/entity/23675755,http://research.tib.eu/p4-lucat/entity/2217155,0.75
http://research.tib.eu/p4-lucat/entity/2498269,http://research.tib.eu/p4-lucat/entity/7439279,0.47222222222222227
http://research.tib.eu/p4-lucat/entity/3019510,http://research.tib.eu/p4-lucat/entity/6588949,0.5416666666666667
http://research.tib.eu/p4-lucat/entity/22672719,http://research.tib.eu/p4-lucat/entity/557844,0.5733333333333334
http://research.tib.eu/p4-lucat/entity/3260,http://research.tib.eu/p4-lucat/entity/28009423,0.25
http://research.tib.eu/p4-lucat/entity/25818796,http://research.tib.eu/p4-lucat/entity/6540820,0.47222222222222227
http://research.tib.eu/p4-lucat/entity/27680023,http://research.tib.eu/p4-lucat/entity/3307691,0.6256944444444444
http://research.tib.eu/p4-lucat/entity/24410971,http://research.tib.eu/p4-lucat/entity/1611,0.25
http://research.tib.eu/p4-lucat/entity/22934708,http://research.tib.eu/p4-lucat/entity/29736852,0.5416666666666667
http://research.tib.eu/p4-lucat/entity/28442014,http://research.tib.eu/p4-lucat/entity/24302581,0.6597222222222223
http://research.tib.eu/p4-lucat/entity/2165868,http://research.tib.eu/p4-lucat/entity/20519045,0.5416666666666667
http://research.tib.eu/p4-lucat/entity/22915782,http://research.tib.eu/p4-lucat/entity/22191798,0.559887941919192
http://research.tib.eu/p4-lucat/entity/8,http://research.tib.eu/p4-lucat/entity/20549398,0.27228009259259256
http://research.tib.eu/p4-lucat/entity/27793846,http://research.tib.eu/p4-lucat/entity/24511043,0.5416666666666667
http://research.tib.eu/p4-lucat/entity/24229625,http://research.tib.eu/p4-lucat/entity/21873970,0.75
http://research.tib.eu/p4-lucat/entity/22902101,http://research.tib.eu/p4-lucat/entity/12883730,0.43750000000000006
http://research.tib.eu/p4-lucat/entity/3324893,http://research.tib.eu/p4-lucat/entity/25502629,0.4027777777777778
http://research.tib.eu/p4-lucat/entity/20003139,http://research.tib.eu/p4-lucat/entity/20845691,0.6111111111111112
http://research.tib.eu/p4-lucat/entity/23133627,http://research.tib.eu/p4-lucat/entity/23412117,0.5282407407407408
http://research.tib.eu/p4-lucat/entity/3978044,http://research.tib.eu/p4-lucat/entity/24165426,0.47222222222222227
http://research.tib.eu/p4-lucat/entity/28757474,http://research.tib.eu/p4-lucat/entity/22544838,0.75
http://research.tib.eu/p4-lucat/entity/21177883,http://research.tib.eu/p4-lucat/entity/20578832,0.5416666666666667
http://research.tib.eu/p4-lucat/entity/21627360,http://research.tib.eu/p4-lucat/entity/26521036,0.41666666666666674
http://research.tib.eu/p4-lucat/entity/24094644,http://research.tib.eu/p4-lucat/entity/29866045,0.75
http://research.tib.eu/p4-lucat/entity/3732316,http://research.tib.eu/p4-lucat/entity/24034990,0.6111111111111112
http://research.tib.eu/p4-lucat/entity/2879257,http://research.tib.eu/p4-lucat/entity/21426659,0.75
http://research.tib.eu/p4-lucat/entity/30683133,http://research.tib.eu/p4-lucat/entity/21708957,0.41666666666666674
http://research.tib.eu/p4-lucat/entity/28376633,http://research.tib.eu/p4-lucat/entity/1243161,0.5416666666666667
http://research.tib.eu/p4-lucat/entity/21441221,http://research.tib.eu/p4-lucat/entity/29197410,0.75
http://research.tib.eu/p4-lucat/entity/636384,http://research.tib.eu/p4-lucat/entity/2564,0.25
http://research.tib.eu/p4-lucat/entity/27401643,http://research.tib.eu/p4-lucat/entity/26864559,0.6597222222222223
http://research.tib.eu/p4-lucat/entity/28031159,http://research.tib.eu/p4-lucat/entity/25800568,0.5458333333333334
http://research.tib.eu/p4-lucat/entity/20663213,http://research.tib.eu/p4-lucat/entity/19800181,0.5885416666666667
http://research.tib.eu/p4-lucat/entity/1212522,http://research.tib.eu/p4-lucat/entity/23158071,0.5416666666666667
